Location,year,month, pH,oxid ,NO3,hard,dry,Cl,SO4,Fe,F,Cu
Nukus,2024,May,7.2,2,2.5,12.8,1500,338.3,380,0.25,0.35,1.1
Nukus,2024,Avgust,7.5,2,2.1,17.5,1800,468.4,480,0.26,0.49,0.8
Qo'ng'irot,2019,Fevral ,7.3,2.6,11.5,12.5,1005,310,250,0.28,0,0
Qo'ng'irot,2019,May,7.8,3,16,14,1100,220,215,0.21,0,0
Qo'ng'irot,2019,Avgust,7,4,14,16.5,1280,305,279,0.28,0,0
Qo'ng'irot,2019,Noyabr ,7.6,2.8,10.8,12.8,980,228,210,0.25,0,0
Qo'ng'irot,2020,Fevral ,7.5,2.5,11.5,13.2,1200,335,417,0.26,0,0
Qo'ng'irot,2020,May,7.5,3.4,12,24,1300,372,380,0.32,0,0
Qo'ng'irot,2020,Avgust,6.8,3.4,11.5,15.6,1610,373,305,0.36,0,0
Qo'ng'irot,2020,Noyabr ,7.3,3.08,9.8,10.4,1200,318,290,0.27,0,0
Qo'ng'irot,2021,Fevral ,7.2,3.6,16.5,17,1525,396,322,0.28,0,0
Qo'ng'irot,2021,May,7,4,12.5,17,1610,400,380,0.3,0,0
Qo'ng'irot,2021,Avgust,6.8,4.8,14.5,13.6,1302,294,275,0.29,0,0
Qo'ng'irot,2021,Noyabr ,7,2.6,16.5,13.5,1600,410,350,0.27,0,0
Qo'ng'irot,2022,Fevral ,7.4,2.6,14.8,26,1620,394,326,0.29,0,0
Qo'ng'irot,2022,May,7.3,1.8,16,32,1600,450,388,0.3,0,0
Qo'ng'irot,2022,Avgust,7.5,3.5,15.8,26.5,1700,452,320,0.3,0,0
Qo'ng'irot,2022,Noyabr ,7.5,1.3,15,14.5,1700,434,326,0.27,0,0
Qo'ng'irot,2023,Fevral ,7.4,3.2,11.5,9.5,1500,220,179,0.21,0,0
Qo'ng'irot,2023,May,7.5,1.8,10,18,1200,280,300,0.25,0,0
Qo'ng'irot,2023,Avgust,7.2,4.2,11,50,1800,600,330,0.32,0,0
Qo'ng'irot,2023,Noyabr ,6.6,3.8,10.5,16,1232,335,298,0.05,0,0
Qo'ng'irot,2024,Fevral ,7.5,2.4,12.8,13,1350,360,344,0.2,0,0
Qo'ng'irot,2024,May,7.1,3.9,8.4,2,1410,400,436,0.3,0,0
Qo'ng'irot,2024,Avgust,7.2,4,8.2,11,1100,312,266,0.1,0,0
Taxtako'prik,2014,Fevral ,7.9,1.24,8,22.4,1.115107914,374,480,0.54,0.16,0.21
Taxtako'prik,2014,May,8.1,1.6,7.9,19.3,1575,371,470,0.63,0.15,0.23
Taxtako'prik,2014,Avgust,7.8,1.6,8.2,12.8,1210,368,530,0.14,0.2,0.2
Taxtako'prik,2014,Noyabr ,7.5,0.2,7.7,35.8,1610,542,600,0.21,0.19,0.15
Taxtako'prik,2015,Fevral ,7.7,0.87,10.4,23.8,1.070967742,353,540,0.24,0.15,0.16
Taxtako'prik,2015,May,7.5,1.1,11.5,29.2,1550,425,562,0.25,0.18,0.16
Taxtako'prik,2015,Avgust,7.8,1.4,8.4,11.8,1650,370,565,0.23,0.13,0.15
Taxtako'prik,2015,Noyabr ,7.9,0.7,8.3,17.2,1600,361,565,0.28,0.23,0.19
Taxtako'prik,2016,Fevral ,7.8,1.08,11.5,20.4,1.010932476,362,1.021818182,0.23,0.15,0.17
Taxtako'prik,2016,May,7.8,1.1,9.5,16.5,1610,371,548,0.24,0.19,0.18
Taxtako'prik,2016,Avgust,7.7,1.6,8.4,15.2,1562,362,550,0.38,0.19,0.12
Taxtako'prik,2016,Noyabr ,7.6,1.4,9.4,15.6,1555,360,540,0.3,0.18,0.2
Taxtako'prik,2017,Fevral ,7.7,2.4,4.3,26.7,1.074918567,392,535,0.27,0.19,0.19
Taxtako'prik,2017,May,7.5,3.5,3.8,28,935,458,365,0.28,0.19,0.18
Taxtako'prik,2017,Noyabr ,7.5,2.4,3.5,24,1650,559,558,0.27,0.18,0.18
Taxtako'prik,2018,Fevral ,7.5,4.7,4.5,26.3,1456.7,368,400,0.19,0.1,0.12
Taxtako'prik,2018,May,7.6,1.6,7.4,28.2,1600,372,572,0.32,0.12,0.15
Taxtako'prik,2018,Avgust,7.8,2.7,6.5,23.6,1578,370,550,0.25,0.2,0.07
Taxtako'prik,2018,Noyabr ,8.6,2.8,8.3,28.2,1678.4,387.3,478.4,0.34,0.3,0.1
Taxtako'prik,2019,Fevral ,7.7,2.4,7.4,18.7,1488,342,1.629139073,0.28,0.18,0.1
Taxtako'prik,2019,May,7.5,3.4,7.7,18,1290,325,422,0.24,0.22,0.14
Taxtako'prik,2019,Avgust,7.8,2.6,9.4,22,1170,166,400,0.21,0.2,0.17
Taxtako'prik,2019,Noyabr ,7.6,1.7,8.3,14.3,1021,110,400,0.14,0.17,0.17
Taxtako'prik,2020,Fevral ,7.7,2,8.2,10.5,1019,136,400,0.18,0.18,0.11
Taxtako'prik,2020,May,6.8,2,7.3,10.7,1467.2,245.6,325.7,0.3,0.23,0.3
Taxtako'prik,2020,Avgust,7.4,2,7.8,16.3,1525,365,455,0.16,0.16,0.17
Taxtako'prik,2020,Noyabr ,7.7,2,5.4,15.2,1315,315,415,0.18,0.16,0.13
Taxtako'prik,2021,Fevral ,7.6,0.35,5.4,14,1.079051383,136,375,0.18,0.15,0.19
Taxtako'prik,2021,May,7.3,1.45,7.2,16,1710,260,540,0.17,0.17,0.14
Taxtako'prik,2021,Avgust,7.5,2.23,5.3,13.8,819,363,540,0.18,0.13,0.12
Taxtako'prik,2021,Noyabr ,7.5,1.65,5.6,14.6,864,269,540,0.16,0.13,0.15
Taxtako'prik,2022,Fevral ,7.5,0.56,9.8,13.9,712,269,332,0.19,0.14,0.12
Taxtako'prik,2022,May,7.6,0.68,6.1,14,819,249,371,0.2,0.12,0.16
Taxtako'prik,2022,Avgust,7.6,0.78,9.6,14,875,412,410,0.17,0.17,0.16
Taxtako'prik,2022,Noyabr ,7.6,1.4,14.3,15.5,834.1,458,458,0.15,0.16,0.14
Taxtako'prik,2023,Fevral ,7.3,0.6,9.2,12.1,1610,373,368,0.18,0.12,0.12
Taxtako'prik,2023,May,8.3,1.3,12.4,14.5,1724.3,365,345,0.3,0.11,0.14
Taxtako'prik,2023,Avgust,7.4,1.6,14.3,17.3,1563.3,345,453,0.2,0.13,0.12
Taxtako'prik,2023,Noyabr ,7.3,2.4,16.5,12.2,1520,350,520,0.17,0.14,0.18
Taxtako'prik,2024,Fevral ,7.5,2,9.2,13,1748,365,530,0.17,0.16,0.16
Taxtako'prik,2024,May,7.4,2,8.4,15.5,1320,412,390,0.17,0.13,0.14
Taxtako'prik,2024,Avgust,7.4,2,5.8,12.3,1885,260,325,0.16,0.15,0.19
